phase	budget	seed	strategy	major	f1_micro	acc	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	bop_error_vs_uniform	relative_bop_error_vs_uniform	within_2pct_uniform_bop	probing_minus_major	probing_minus_f1	run_name
bopfix2	low	20260807	random_s29	0.45565191846679354	0.04469604545152909	0.866607791482058	0.0052325085486194895	-0.4660823346874847	-0.803561593609877	0.002099274532253682	0.670002470702332	False	0.4962233537228342	0.8621743134922782	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
bopfix2	low	20260808	uniform	0.9371326499538031	0.8782190607916749	0.9960462391159314	0.0034927267939841547	0.0	0.0	0.0	0.0	True	0.013811605117409087	0.026840583688809927	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260808_cal16_ms256_dep_e3_retry1
bopfix2	low	20260808	probing	0.9509442550712122	0.9050596444804848	0.9968288656619395	0.0034953710060274764	0.013811605117409087	0.026840583688809927	2.6442120433217003e-06	0.0007570623754128351	True	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
bopfix2	low	20260808	inverse	0.4235335073190749	0.03354881607624395	0.8135181985619059	0.004366070319693402	-0.5135991426347282	-0.844670244715431	0.0008733435257092469	0.2500463326285603	False	0.5274107477521373	0.8715108284042409	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
bopfix2	low	20260808	early	0.8439512092914755	0.6962874993545722	0.9916149192283787	0.0034771179439406002	-0.09318144066232759	-0.18193156143710265	-1.5608850043554497e-05	-0.0044689581992038594	True	0.10699304577973667	0.20877214512591258	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
bopfix2	low	20260808	late	0.2749150448624066	0.03467507549783157	0.5151550142269816	0.007030515238818463	-0.6622176050913965	-0.8435439852938433	0.003537788444834308	1.012901567602644	False	0.6760292102088056	0.8703845689826533	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
bopfix2	low	20260808	random_s29	0.38557055924808137	0.032510586652243316	0.7386305318439195	0.007989211719701109	-0.5515620907057217	-0.8457084741394316	0.004496484925716955	1.2873852410848925	False	0.5653736958231308	0.8725490578282415	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
bopfix2	low	20260809	uniform	0.9370448236667611	0.8780626531326566	0.9960269942008656	0.0032756907442583268	0.0	0.0	0.0	0.0	True	0.013966893195231145	0.02713690435181282	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260809_cal16_ms256_dep_e3_retry1
bopfix2	low	20260809	probing	0.9510117168619923	0.9051995574844695	0.9968238762395151	0.003327766179480793	0.013966893195231145	0.02713690435181282	5.207543522246609e-05	0.01589754323229218	True	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260809_cal16_dep_e3_retry1
bopfix2	low	20260809	inverse	0.4291885162975027	0.033641186873649045	0.8247358457213564	0.004444335853154658	-0.5078563073692584	-0.8444214662590076	0.001168645108896331	0.3567629547889242	False	0.5218232005644896	0.8715583706108204	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_bopfix2_fixedseed20260809_cal16_dep_e3_retry1
bopfix2	low	20260809	early	0.8250535753074193	0.6592271020321198	0.9908800485827189	0.003274251160375056	-0.11199124835934182	-0.21883555110053687	-1.4395838832709403e-06	-0.00043947490641302496	True	0.12595814155457297	0.2459724554523497	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_bopfix2_fixedseed20260809_cal16_dep_e3_retry1
