task	budget	seed	strategy	major	f1_micro	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	relative_bop_error_vs_uniform_pct	run_name
ner	boundary	20260808	fisher	0.9647500322090122	0.9362826015186531	0.005090129003006536	0.002669753658791185	0.004857550573200253	0.0012531321683650898	0.0022753267300470448	0.9988155053819225	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260808_cal16_ner_e3
ner	boundary	20260808	probefisher	0.9653476825085586	0.9373674536971582	0.005015696973706172	0.003267403958337578	0.005942402751705433	0.0018507824679114826	0.003360178908552225	-0.47807177793806055	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260808_cal16_ner_e3
ner	boundary	20260808	late	0.9756615752003805	0.9561226363135671	0.00487494173628797	0.013581296650159502	0.024697585368114283	0.012164675159733407	0.022115361524961075	-3.2709503566578535	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260808_cal16_ner_e3
ner	boundary	20260809	uniform	0.9614982067097404	0.9303562945368171	0.004915098485210685	0.0	0.0	-0.002736261967397402	-0.004990567190412687	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260809_cal16_ner_e3
ner	boundary	20260809	probing	0.9642344686771378	0.9353468617272298	0.004817055355542996	0.002736261967397402	0.004990567190412687	0.0	0.0	-1.9947337772110996	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260809_cal16_ner_e3
ner	boundary	20260809	fisher	0.9634196467924986	0.9338628090578168	0.004964930876794152	0.0019214400827581857	0.003506514520999704	-0.0008148218846392163	-0.001484052669412983	1.0138635417664688	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260809_cal16_ner_e3
ner	boundary	20260809	probefisher	0.9659691379440585	0.9385049365303244	0.0049044861380503615	0.004470931234318076	0.008148641993507288	0.0017346692669206742	0.0031580748030946015	-0.2159132150099441	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260809_cal16_ner_e3
ner	boundary	20260809	late	0.9740229428664253	0.9531566353764035	0.004768132508912127	0.012524736156684924	0.022800340839586375	0.009788474189287522	0.017809773649173688	-2.990092197354166	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260809_cal16_ner_e3
dep	low	20260806	uniform	0.9486950303725705	0.9006923456155017	0.0032442153027602495	0.0	0.0	-0.0030842658205449958	-0.005992476306969641	0.0	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260806_cal16_ms256_dep_e3_retry1
dep	low	20260806	probing	0.9517792961931155	0.9066848219224714	0.0032936616403495484	0.0030842658205449958	0.005992476306969641	0.0	0.0	1.524138596696356	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	low	20260806	fisher	0.9521215593518704	0.907345113902491	0.003234507416713289	0.0034265289792998477	0.006652768286989241	0.0003422631587548519	0.0006602919800196005	-0.2992367996877632	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	low	20260806	probefisher	0.9504084688607849	0.9040272746643938	0.003230217038219104	0.0017134384882143694	0.003334929048892099	-0.0013708273323306264	-0.0026575472580775417	-0.4314838330623516	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	low	20260807	uniform	0.9217342531542783	0.848257639061406	0.0031332340163658075	0.0	0.0	-0.030141019035349492	-0.05861271988240124	0.0	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260807_cal16_ms256_dep_e3_retry1
dep	low	20260807	probing	0.9518752721896278	0.9068703589438073	0.0031643520126164106	0.030141019035349492	0.05861271988240124	0.0	0.0	0.9931590199794949	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
dep	low	20260807	fisher	0.9350135619165129	0.8740956414328569	0.0031279529887467635	0.013279308762234598	0.02583800237145084	-0.016861710273114894	-0.0327747175109504	-0.16854877712483285	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
dep	low	20260807	probefisher	0.9461175121678991	0.8956912685266849	0.0031224180125214466	0.024383259013620817	0.04743362946527885	-0.005757760021728675	-0.011179090417122395	-0.34520255390646515	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
dep	low	20260808	uniform	0.9371326499538031	0.8782190607916749	0.0034927267939841547	0.0	0.0	-0.013811605117409087	-0.026840583688809927	0.0	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260808_cal16_ms256_dep_e3_retry1
dep	low	20260808	probing	0.9509442550712122	0.9050596444804848	0.0034953710060274764	0.013811605117409087	0.026840583688809927	0.0	0.0	0.07570623754127315	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
